	new00	new01	new02	new03	new04	new05
0	0.33920905	0.15575223	0.31004506	0.0073760804	-0.0068791583	-0.0061979033
1	-0.18131936	0.16257945	-0.17392054	-0.3345594	-0.3817317	-0.3195522
2	0.061973	0.025810463	0.06204677	0.5950356	0.63059235	0.57455295
3	-0.43150204	-0.39323273	-0.44034612	-0.0041527636	-0.058801755	-0.032859877
4	-0.2896713	0.2189032	-0.30302444	-0.61849576	-0.37771899	-0.62512535
5	0.19195609	0.20893873	0.18876885	0.06519798	-0.039991602	0.05519449
6	-0.11525178	-0.10341065	-0.1732505	-0.02990181	0.051410783	-0.042407166
7	-0.08999251	-0.4610815	-0.028627045	0.030678209	0.12345989	0.0155577585
8	0.53482014	0.58703804	0.52849066	0.12512212	0.23022556	0.17732841
9	0.096858926	0.25604564	0.045668323	-0.17311981	-0.30343464	-0.2020539
